city,mountain,realm
Thornpeak,Blackthorn Peak,Bryndarion
Crystalhold,Frostcrag,Sylvaen
Emberstone,Stormreach Summit,Draegorn
Mistwatch,Frostspire Summit,Venaris
Thorncrest,Emberstone,Nytherin
Goldencrest,Ironpeak,Feydrenor
Luminous Heights,Thorncliff,Sylthorn
Ironpeak,Sunspire,Aerionis
Sunspire,Redspire,Arlanothornis
Willowmist,Frostspire Peak,Volynis
Thistlethorn,Firepeak,Thrandorwyn
Mistvale,Frostspire Mountain,Xandrion
Raventhorn,Windfire Mountain,Lytharindor
Pinecrest,Thornwatch,Erelis
Dreadhaven,Embercliff,Talrathor
Prowler's Peak,Grimstone,Thrandarion
Starwood,Whispering Peak,Aeryndor
Firepeak,Ironspike,Valthorwyn
Jewelspire,Sunclaw Ridge,Itharindor
Wraithwood,Frostclaw Mountain,Brindorwyn
Thornwatch,Ironclaw Ridge,Brimvalis
Grimstone,Frostwatch Peak,Valtheron
Willowdale,Sunfall Summit,Azarinth
Juniper Hollow,Windveil Summit,Zephyrodor
Valewood,Nightspire Summit,Rythorin
Emberveil,Emberveil,Vaerlon
Windwatch,Silentspire,Arlindor
Hawkthorn,Sunfall Mountain,Velmorin
Fireglen,Redrock Summit,Sildarion
Starfall,Shadowclaw Summit,Kaelthornis
Firevale,Ironfall Summit,Drakoriaxis
Frostspire,Skytalon Ridge,Etharion
Silvercrest,Ironwatch Mountain,Itharion
Umbercliff,Frostspire,Maletharion
Valemyst,Bloodclaw Ridge,Tharnor
Frostpeak,Crystalcliff,Aethoria
Frostvale,Grimwatch Peak,Galethor
Grimwood,Stormfire Peak,Valadorthis
Kestrel's Rest,Frostfire Summit,Eldalyn
Moonshadow,Emberclaw Peak,Kryndoria
Nightglade,Cloudveil Ridge,Zandorith
Dragonspire,Bloodstone Summit,Xypharis
Thistlewood,Windwatch Ridge,Thalindor
Zenithal Heights,Emberclaw,Itharin
Windspire,Frostfall Summit,Eldathorion
Everwinter,Blackstone Mountain,Nythorwyn
Pinefall,Winterfang,Calendor
Winterhold,Silverspire,Silvarith
Nightglen,Goldvein Ridge,Sylvarisyn
Brightspire,Stormforge Mountain,Vaelthorin
Thornreach,Dragonspire,Xylarion
Netherhaven,Stonefang,Wyntheron
Darkvale,Emberpeak Summit,Aerithoris
Stormspire,Emberfall Peak,Ethalor
Verdant Hollow,Windspire,Sylvalis
Windpeak,Shadowfang Peak,Xylothornis
Crystalglen,Greymist Peak,Galendor
Grimshade,Sunclaw Mountain,Galendrothar
Starstone,Shadowstone Peak,Mistralys
Ravenwatch,Emberfall Summit,Malendor
Duskwood,Brightspire,Kaelorwyn
Glacial Keep,Stormspire,Zephrinorn
Ashhaven,Ironspire Summit,Dornathis
Moonbrook,Bloodwatch Ridge,Rynthorin
Windstone,Ironwatch Peak,Galenorith
Brightreach,Wolfhowl Peak,Vaelornothar
Fernhollow,Dawnstone,Lytharion
Fireglow,Emberfire Ridge,Zephorion
Frostveil,Silverpeak Summit,Volynor
Hollowforge,Emberclaw Summit,Ithoria
Cragspire,Ashspire,Valthornis
Quietgrove,Embercliff Summit,Nalendir
Jadehollow,Ironveil Peak,Caelora
Sylvalis,Skyspire,Eldrathis
Goldenleaf,Windcrest Peak,Talrionis
Embercrest,Frostveil,Valendor
Crystalbrook,Icepeak,Marendoris
Zephyrhold,Frostfall Peak,Brinthorn
Ivoryspire,Cragspire,Kaeltharnisyn
Embervale,Nightshade Ridge,Zephyrosyn
Shadowcrest,Stormfang,Zeloria
Ashenford,Stormclaw Ridge,Arendor
Grimspire,Starwatch Ridge,Valtheris
Cobalt Cove,Frostmaw Summit,Rhydalor
Quicksilver,Frostclaw,Valanoria
Sunwatch,Thornspire Mountain,Venarion
Brightwater,Grimspire,Zultheris
Brighthaven,Ironfire Mountain,Mordoria
Emberforge,Thunderclaw Ridge,Ardonis
Nightspire,Briarcliff,Tharathor
Mistveil,Mistveil Peak,Zyltheris
Larkspire,Emberwatch Peak,Kaeldorinor
Goldenshade,Thornfire Ridge,Eldraxis
Moonstone,Shatteredpeak,Eryndoris
Nightstone,Stormspike,Tharnorwyn
Grimforge,Nightspire,Lythorwyn
Eldridge,Frostspike,Valanoryndor
Shadowreach,Skullcliff,Braelorn
Shadowbrook,Emberwatch Summit,Azalandor
Stormhold,Grimstone Ridge,Vaelaria
Shadowfen,Shadowcrag,Nymarin
Kingswood,Grimclaw,Wyntheris
Redcliff,Bloodfire Mountain,Malathor
Windhaven,Daggerpeak,Thrandor
Frostwold,Shadowwatch Peak,Zyndorwyn
Sunhaven,Darkfrost Peak,Kryndoriax
Silverglen,Ironfang Mountain,Feyndor
Oakenbriar,Wildspire,Zephyrnothis
Ravencliff,Darkwatch,Eldrithor
Cinderfall,Elderspire,Sylthoraxis
Azurecrown,Starveil Mountain,Elandria
Starspire,Ironspire Peak,Nythisarion
Elderglen,Ravencliff,Galendrias
Nightveil,Nightwatch Ridge,Nythoria
Emberglen,Windwatch Summit,Zephyros
Crystal Bay,Frostveil Peak,Xylarionis
Viper's Hollow,Windclaw Ridge,Morathor
Vespera,Starspire,Valadrias
Jadedale,Mooncliff,Thrandorionis
Ravenstone,Nightveil,Shadarwyn
Drakenspire,Windwatch Peak,Vaelorn
Thornbrook,Shadowveil Mountain,Dorwyn
Sunveil,Darkspike,Brynarithor
Ashveil,Sunspire Mountain,Vaelandoria
Blackridge,Starfire Summit,Illyndoria
Fernspire,Winterclaw,Kyndarion
Goldcliff,Starfire Peak,Volandor
Zenith ValeFaelanor,Ironclaw Summit,Azalorn
Nightbloom,Goldspire,Zelthorn
Umberveil,Frosthelm,Zaldorwyn
Windcrest,Darkcliff,Nytherinor
Dawnspire,Ashveil Summit,Aeloris
Crystalveil,Blackspire,Kyndaria
Luminous Vale,Nightwatch Summit,Kaelthorn
Larkwood,Shadowveil Ridge,Mordorwyn
Frostglade,Ironspike Summit,Nytheris
Emberhaven,Dawnspire,Zylpharis
